id,team_id,year,att,made,range
214,10,1971,0,0,4
215,10,1971,0,0,5
216,12,1971,6,6,0
217,12,1971,9,7,1
218,12,1971,2,0,2
219,12,1971,15,5,3
220,12,1971,0,0,4
221,12,1971,0,0,5
222,13,1971,7,7,0
223,13,1971,8,8,1
224,13,1971,11,6,2
225,13,1971,12,7,3
226,13,1971,0,0,4
227,13,1971,0,0,5
228,14,1971,2,1,0
229,14,1971,12,8,1
230,14,1971,9,3,2
231,14,1971,7,2,3
232,14,1971,0,0,4
233,14,1971,0,0,5
234,15,1971,4,4,0
235,15,1971,7,5,1
236,15,1971,5,3,2
237,15,1971,5,1,3
238,15,1971,0,0,4
239,15,1971,0,0,5
240,16,1971,1,1,0
241,16,1971,3,3,1
242,16,1971,7,2,2
243,16,1971,6,0,3
244,16,1971,0,0,4
245,16,1971,0,0,5
246,18,1971,1,1,0
247,18,1971,3,1,1
248,18,1971,7,5,2
249,18,1971,7,1,3
250,18,1971,0,0,4
251,18,1971,0,0,5
252,19,1971,6,6,0
253,19,1971,9,8,1
254,19,1971,15,7,2
255,19,1971,3,1,3
256,19,1971,0,0,4
257,19,1971,0,0,5
258,30,1971,1,1,0
259,30,1971,9,8,1
260,30,1971,5,2,2
261,30,1971,10,6,3
262,30,1971,0,0,4
263,30,1971,0,0,5
264,20,1971,5,5,0
265,20,1971,10,6,1
266,20,1971,5,2,2
267,20,1971,5,1,3
268,20,1971,0,0,4
269,20,1971,0,0,5
270,22,1971,1,1,0
271,22,1971,3,1,1
272,22,1971,7,6,2
273,22,1971,7,3,3
274,22,1971,0,0,4
275,22,1971,0,0,5
276,23,1971,4,4,0
277,23,1971,7,5,1
278,23,1971,7,4,2
279,23,1971,3,2,3
280,23,1971,0,0,4
281,23,1971,0,0,5
282,24,1971,7,6,0
283,24,1971,8,6,1
284,24,1971,3,2,2
285,24,1971,10,4,3
286,24,1971,0,0,4
287,24,1971,0,0,5
288,11,1971,12,10,0
289,11,1971,9,6,1
290,11,1971,14,8,2
291,11,1971,11,3,3
292,11,1971,0,0,4
293,11,1971,0,0,5
294,26,1971,7,6,0
295,26,1971,4,4,1
296,26,1971,11,7,2
297,26,1971,5,0,3
298,26,1971,0,0,4
299,26,1971,0,0,5
300,28,1971,6,5,0
301,28,1971,7,5,1
302,28,1971,7,4,2
303,28,1971,6,3,3
304,28,1971,0,0,4
305,28,1971,0,0,5
306,31,1971,9,9,0
307,31,1971,8,4,1
308,31,1971,7,6,2
309,31,1971,8,3,3
310,31,1971,0,0,4
311,31,1971,0,0,5
312,0,1972,4,4,0
313,0,1972,5,4,1
314,0,1972,5,4,2
315,0,1972,12,5,3
316,0,1972,0,0,4
317,0,1972,0,0,5
318,1,1972,6,6,0
319,1,1972,4,3,1
320,1,1972,4,2,2
321,1,1972,9,1,3
322,1,1972,0,0,4
323,1,1972,0,0,5
324,2,1972,7,6,0
325,2,1972,10,6,1
326,2,1972,12,9,2
327,2,1972,8,5,3
328,2,1972,0,0,4
329,2,1972,0,0,5
330,3,1972,2,2,0
331,3,1972,5,4,1
332,3,1972,7,6,2
333,3,1972,9,4,3
334,3,1972,0,0,4
335,3,1972,0,0,5
336,4,1972,6,6,0
337,4,1972,3,2,1
338,4,1972,8,6,2
339,4,1972,11,6,3
340,4,1972,0,0,4
341,4,1972,0,0,5
342,5,1972,5,5,0
343,5,1972,8,7,1
344,5,1972,8,7,2
345,5,1972,5,2,3
346,5,1972,0,0,4
347,5,1972,0,0,5
348,7,1972,5,4,0
349,7,1972,5,2,1
350,7,1972,3,2,2
351,7,1972,9,6,3
352,7,1972,0,0,4
353,7,1972,0,0,5
354,8,1972,5,5,0
355,8,1972,4,4,1
356,8,1972,6,2,2
357,8,1972,12,6,3
358,8,1972,0,0,4
359,8,1972,0,0,5
360,9,1972,3,3,0
361,9,1972,4,3,1
362,9,1972,13,9,2
363,9,1972,9,5,3
364,9,1972,0,0,4
365,9,1972,0,0,5
366,10,1972,3,2,0
367,10,1972,8,6,1
368,10,1972,8,3,2
369,10,1972,17,2,3
370,10,1972,0,0,4
371,10,1972,0,0,5
372,12,1972,6,6,0
373,12,1972,5,5,1
374,12,1972,6,3,2
375,12,1972,13,5,3
376,12,1972,0,0,4
377,12,1972,0,0,5
378,13,1972,7,7,0
379,13,1972,3,3,1
380,13,1972,8,7,2
381,13,1972,11,4,3
382,13,1972,0,0,4
383,13,1972,0,0,5
384,14,1972,6,6,0
385,14,1972,6,3,1
386,14,1972,10,7,2
387,14,1972,9,2,3
388,14,1972,0,0,4
389,14,1972,0,0,5
390,15,1972,5,3,0
391,15,1972,6,5,1
392,15,1972,10,7,2
393,15,1972,9,1,3
394,15,1972,0,0,4
395,15,1972,0,0,5
396,16,1972,8,8,0
397,16,1972,10,8,1
398,16,1972,3,0,2
399,16,1972,8,5,3
400,16,1972,0,0,4
401,16,1972,0,0,5
402,18,1972,8,7,0
403,18,1972,7,7,1
404,18,1972,15,11,2
405,18,1972,7,2,3
406,18,1972,0,0,4
407,18,1972,0,0,5
408,19,1972,3,3,0
409,19,1972,5,5,1
410,19,1972,11,8,2
411,19,1972,9,3,3
412,19,1972,0,0,4
413,19,1972,0,0,5
414,30,1972,3,3,0
415,30,1972,6,4,1
416,30,1972,4,3,2
417,30,1972,7,3,3
418,30,1972,0,0,4
419,30,1972,0,0,5
420,20,1972,4,3,0
421,20,1972,8,7,1
422,20,1972,17,13,2
423,20,1972,16,8,3
424,20,1972,0,0,4
425,20,1972,0,0,5
426,22,1972,1,1,0
427,22,1972,3,2,1
428,22,1972,6,4,2
429,22,1972,4,1,3
430,22,1972,0,0,4
431,22,1972,0,0,5
432,23,1972,1,1,0
433,23,1972,6,5,1
434,23,1972,7,5,2
435,23,1972,12,6,3
436,23,1972,0,0,4
437,23,1972,0,0,5
438,24,1972,7,6,0
439,24,1972,7,5,1
440,24,1972,11,9,2
441,24,1972,13,4,3
442,24,1972,0,0,4
443,24,1972,0,0,5
444,11,1972,4,4,0
445,11,1972,3,0,1
446,11,1972,11,6,2
447,11,1972,8,4,3
448,11,1972,0,0,4
449,11,1972,0,0,5
450,26,1972,3,3,0
451,26,1972,5,2,1
452,26,1972,7,5,2
453,26,1972,10,1,3
454,26,1972,0,0,4
455,26,1972,0,0,5
456,28,1972,9,9,0
457,28,1972,10,8,1
458,28,1972,12,8,2
459,28,1972,9,3,3
460,28,1972,0,0,4
461,28,1972,0,0,5
462,31,1972,4,4,0
463,31,1972,9,6,1
464,31,1972,10,7,2
465,31,1972,9,4,3
466,31,1972,0,0,4
467,31,1972,0,0,5
468,0,1973,4,4,0
469,0,1973,12,9,1
470,0,1973,9,8,2
471,0,1973,7,4,3
472,0,1973,0,0,4
473,0,1973,0,0,5
474,1,1973,5,5,0
475,1,1973,2,2,1
476,1,1973,6,3,2
477,1,1973,8,4,3
478,1,1973,0,0,4
479,1,1973,0,0,5
480,2,1973,5,5,0
481,2,1973,7,6,1
482,2,1973,9,5,2
483,2,1973,6,4,3
484,2,1973,0,0,4
485,2,1973,0,0,5
486,3,1973,7,7,0
487,3,1973,5,3,1
