id,team_id,year,ret,yds,td,20_plus,40_plus,lng,fc,fum
116,14,1974,48,1062,0,0,0,52,0,0
117,15,1974,60,1296,0,0,0,59,0,0
118,16,1974,59,1458,0,0,0,72,0,0
119,18,1974,61,1307,0,0,0,46,0,0
120,19,1974,62,1293,0,0,0,59,0,0
121,30,1974,62,1419,0,0,0,67,0,0
122,20,1974,49,1022,0,0,0,52,0,0
123,22,1974,58,1198,0,0,0,62,0,0
124,23,1974,50,1140,0,0,0,67,0,0
125,24,1974,40,938,1,0,0,84,0,0
126,11,1974,45,1166,1,0,0,102,0,0
127,26,1974,53,1040,0,0,0,41,0,0
128,28,1974,42,901,0,0,0,60,0,0
129,31,1974,50,1090,0,0,0,52,0,0
130,0,1975,60,1372,0,0,0,52,0,0
131,1,1975,74,1644,0,0,0,70,0,0
132,2,1975,46,1042,0,0,0,64,0,0
133,3,1975,62,1457,0,0,0,59,0,0
134,4,1975,59,1446,0,0,0,58,0,0
135,5,1975,67,1526,0,0,0,92,0,0
136,7,1975,55,1337,1,0,0,93,0,0
137,8,1975,69,1482,0,0,0,41,0,0
138,9,1975,62,1350,0,0,0,53,0,0
139,10,1975,52,1190,0,0,0,65,0,0
140,12,1975,54,1158,1,0,0,97,0,0
141,13,1975,40,949,0,0,0,42,0,0
142,14,1975,59,1388,0,0,0,42,0,0
143,15,1975,66,1217,0,0,0,33,0,0
144,16,1975,55,1250,0,0,0,64,0,0
145,18,1975,74,1704,0,0,0,53,0,0
146,19,1975,52,1114,0,0,0,42,0,0
147,30,1975,54,1144,1,0,0,81,0,0
148,20,1975,63,1398,1,0,0,93,0,0
149,22,1975,66,1520,1,0,0,99,0,0
150,23,1975,51,1324,1,0,0,102,0,0
151,24,1975,34,764,0,0,0,46,0,0
152,11,1975,58,1296,0,0,0,50,0,0
153,26,1975,63,1319,0,0,0,88,0,0
154,28,1975,38,815,1,0,0,94,0,0
155,31,1975,38,787,0,0,0,63,0,0
156,0,1976,38,777,0,0,0,40,0,0
157,1,1976,51,1087,0,0,0,48,0,0
158,2,1976,49,1046,1,0,0,97,0,0
159,3,1976,75,1594,0,0,0,79,0,0
160,4,1976,46,1075,0,0,0,64,0,0
161,5,1976,54,1182,0,0,0,44,0,0
162,6,1976,70,1488,0,0,0,43,0,0
163,7,1976,54,1102,0,0,0,43,0,0
164,8,1976,52,1076,0,0,0,47,0,0
165,9,1976,65,1538,0,0,0,64,0,0
166,10,1976,52,1072,0,0,0,83,0,0
167,12,1976,42,1027,0,0,0,74,0,0
168,13,1976,55,1347,0,0,0,69,0,0
169,14,1976,58,1148,0,0,0,41,0,0
170,15,1976,60,1269,0,0,0,44,0,0
171,16,1976,53,1044,0,0,0,37,0,0
172,18,1976,73,1597,0,0,0,58,0,0
173,19,1976,47,987,0,0,0,84,0,0
174,30,1976,58,1229,0,0,0,53,0,0
175,20,1976,65,1361,0,0,0,88,0,0
176,22,1976,46,1087,0,0,0,71,0,0
177,23,1976,46,1025,0,0,0,55,0,0
178,24,1976,44,1027,1,0,0,90,0,0
179,11,1976,50,1066,0,0,0,67,0,0
180,26,1976,62,1173,0,0,0,41,0,0
181,27,1976,79,1605,0,0,0,45,0,0
182,28,1976,41,855,0,0,0,39,0,0
183,31,1976,42,859,0,0,0,57,0,0
184,0,1977,49,1174,1,0,0,80,0,0
185,1,1977,57,1273,1,0,0,84,0,0
186,2,1977,46,886,0,0,0,38,0,0
187,3,1977,60,1238,0,0,0,45,0,0
188,4,1977,34,732,0,0,0,33,0,0
189,5,1977,53,1075,0,0,0,36,0,0
190,6,1977,43,914,0,0,0,41,0,0
191,7,1977,59,1271,0,0,0,51,0,0
192,8,1977,39,734,0,0,0,33,0,0
193,9,1977,63,1284,0,0,0,70,0,0
194,10,1977,48,912,0,0,0,37,0,0
195,12,1977,44,1071,0,0,0,64,0,0
196,13,1977,38,1011,1,0,0,90,0,0
197,14,1977,45,1110,1,0,0,99,0,0
198,15,1977,34,621,0,0,0,30,0,0
199,16,1977,54,1036,0,0,0,35,0,0
200,18,1977,61,1374,0,0,0,60,0,0
201,19,1977,58,1239,1,0,0,98,0,0
202,30,1977,46,1056,1,0,0,76,0,0
203,20,1977,51,947,1,0,0,96,0,0
204,22,1977,39,1051,3,0,0,101,0,0
205,23,1977,49,909,0,0,0,31,0,0
206,24,1977,33,705,0,0,0,43,0,0
207,11,1977,47,1087,0,0,0,46,0,0
208,26,1977,63,1355,1,0,0,92,0,0
209,27,1977,71,1502,0,0,0,44,0,0
210,28,1977,45,995,0,0,0,43,0,0
211,31,1977,45,834,0,0,0,48,0,0
212,0,1978,73,1421,1,0,0,89,0,0
213,1,1978,61,1358,0,0,0,81,0,0
214,2,1978,58,1164,0,0,0,39,0,0
215,3,1978,66,1316,1,0,0,102,0,0
216,4,1978,42,952,0,0,0,41,0,0
217,5,1978,72,1697,0,0,0,86,0,0
218,6,1978,56,1095,0,0,0,46,0,0
219,7,1978,55,1148,0,0,0,32,0,0
220,8,1978,58,1252,0,0,0,77,0,0
221,9,1978,61,1456,0,0,0,66,0,0
222,10,1978,74,1648,1,0,0,90,0,0
223,12,1978,47,896,0,0,0,56,0,0
224,13,1978,53,1132,0,0,0,53,0,0
225,14,1978,54,1134,0,0,0,44,0,0
226,15,1978,59,1332,1,0,0,100,0,0
