id,team_id,year,net_yds,punts,yds,in_20,oob,dn,tb,fc,ret,rety,td,p_blk
83,5,1973,2991,82,3321,0,4,11,3,19,44,270,0,1
84,7,1973,2232,66,2478,0,3,15,3,21,23,186,0,1
85,8,1973,2581,72,2958,0,3,15,6,10,35,257,0,3
86,9,1973,2936,80,3642,0,8,7,13,3,48,446,0,1
87,10,1973,2082,62,2402,0,2,7,2,21,28,280,0,2
88,12,1973,2156,59,2448,0,7,7,7,7,29,152,1,2
89,13,1973,1789,48,2031,0,3,6,3,8,28,182,0,0
90,14,1973,2160,64,2616,0,2,7,4,16,35,376,0,0
91,15,1973,2397,63,2682,0,4,8,5,16,30,185,0,0
92,16,1973,2122,68,2641,0,3,13,7,9,32,379,0,4
93,18,1973,2213,74,2744,0,4,8,6,18,36,411,1,2
94,19,1973,2067,54,2333,0,5,7,5,6,30,166,0,1
95,30,1973,2876,85,3299,0,9,12,4,16,44,343,0,0
96,20,1973,2407,68,2787,0,5,5,4,13,41,300,0,0
97,22,1973,2145,61,2297,0,5,4,0,23,29,152,0,0
98,23,1973,2677,69,3127,0,3,8,8,10,40,290,0,0
99,24,1973,1698,51,2079,0,7,5,6,8,24,261,0,1
100,11,1973,2437,64,2581,0,6,12,2,30,14,104,0,0
101,26,1973,2688,81,3375,0,5,9,5,13,49,587,1,0
102,28,1973,2160,62,2548,0,7,5,4,8,37,308,0,1
103,31,1973,2277,66,2628,0,6,6,4,8,42,271,1,0
104,0,1974,2225,70,2856,0,6,8,7,2,46,491,0,1
105,1,1974,2662,91,3435,0,10,7,7,8,58,633,1,1
106,2,1974,2044,66,2701,0,6,4,10,5,41,457,0,0
107,3,1974,2223,69,2799,0,7,9,8,0,45,416,0,0
108,4,1974,2435,75,3024,0,21,4,3,1,45,529,0,1
109,5,1974,2718,90,3643,0,5,1,11,5,68,705,1,0
110,7,1974,2473,81,3131,0,8,7,7,3,56,518,1,0
111,8,1974,2501,76,3042,0,13,6,7,2,48,401,0,0
112,9,1974,2768,83,3462,0,18,5,3,0,55,634,0,2
113,10,1974,2141,71,2634,0,8,6,4,6,46,413,0,1
114,12,1974,2286,73,2809,0,16,7,9,10,31,343,1,0
115,13,1974,2212,65,2511,0,7,6,2,8,42,259,0,0
116,14,1974,2734,84,3026,0,9,20,2,14,37,252,0,2
117,15,1974,3073,96,3891,0,11,6,8,11,59,658,1,1
118,16,1974,2051,69,2769,0,7,5,12,0,43,478,0,2
119,18,1974,2117,75,2689,0,21,6,11,10,27,352,0,0
120,19,1974,2315,73,2790,0,4,10,10,10,37,275,0,2
121,30,1974,2560,79,3100,0,7,4,2,10,56,500,0,0
122,20,1974,2172,69,2648,0,5,8,6,2,48,356,0,0
123,22,1974,2157,71,2571,0,16,3,5,6,41,314,0,0
124,23,1974,2541,74,3124,0,7,5,15,7,40,283,0,0
125,24,1974,2136,75,2729,0,19,3,7,5,40,453,1,1
126,11,1974,2205,74,2823,0,8,3,8,4,50,458,1,1
127,26,1974,2757,91,3803,0,22,2,7,1,59,906,2,0
128,28,1974,2407,78,3040,0,9,7,11,4,47,413,0,0
129,31,1974,2211,73,2636,0,13,6,4,4,45,345,0,1
130,0,1975,2194,67,2804,0,5,9,6,1,43,490,0,3
131,1,1975,3242,94,3664,0,6,13,6,20,49,302,0,0
132,2,1975,2149,68,2655,0,8,7,6,4,42,386,1,1
133,3,1975,2137,61,2536,0,9,3,11,7,29,179,0,2
134,4,1975,1821,63,2515,0,7,5,8,4,39,534,1,0
135,5,1975,2708,82,3317,0,9,5,7,15,45,469,0,1
136,7,1975,1963,64,2412,0,8,8,6,7,34,329,0,1
137,8,1975,2457,79,2910,0,8,9,4,9,48,373,0,1
138,9,1975,2223,72,2826,0,17,7,5,5,36,503,0,2
139,10,1975,2669,86,3402,0,8,10,11,5,51,513,0,1
140,12,1975,2255,68,2676,0,9,5,8,8,37,261,0,1
141,13,1975,2033,65,2506,0,11,8,5,7,34,373,1,0
142,14,1975,2561,83,3231,0,7,5,7,6,58,530,1,0
143,15,1975,3047,89,3696,0,7,9,13,6,53,389,0,1
