id,team_id,year,xp_md,xp_pct,2pt_md,fg_lng,fg_blk
145,18,1975,27,90.0,0,47,4
146,19,1975,25,86.2,0,47,2
147,30,1975,31,91.2,0,48,1
148,20,1975,22,81.5,0,48,0
149,22,1975,33,100.0,0,46,3
150,23,1975,44,91.7,0,37,0
151,24,1975,31,86.1,0,51,1
152,11,1975,37,94.9,0,48,1
153,26,1975,18,100.0,0,50,2
154,28,1975,44,95.6,0,42,0
155,31,1975,46,95.8,0,52,1
156,0,1976,26,86.7,0,45,3
157,1,1976,27,90.0,0,47,1
158,2,1976,39,92.9,0,51,2
159,3,1976,26,89.7,0,49,2
160,4,1976,36,92.3,0,47,1
161,5,1976,27,90.0,0,51,2
162,6,1976,11,78.6,0,45,3
163,7,1976,33,94.3,0,43,1
164,8,1976,25,83.3,0,48,1
165,9,1976,27,81.8,0,52,6
166,10,1976,49,98.0,0,41,1
167,12,1976,34,100.0,0,46,0
168,13,1976,29,93.6,0,53,1
169,14,1976,18,94.7,0,44,1
170,15,1976,20,100.0,0,46,3
171,16,1976,20,95.2,0,50,3
172,18,1976,16,80.0,0,47,0
173,19,1976,28,90.3,0,49,2
174,30,1976,24,100.0,0,54,1
175,20,1976,24,88.9,0,45,1
176,22,1976,43,91.5,0,49,1
177,23,1976,42,89.4,0,44,4
178,24,1976,36,81.8,0,49,4
179,11,1976,31,96.9,0,49,0
180,26,1976,25,86.2,0,50,0
181,27,1976,26,89.7,0,48,2
182,28,1976,40,93.0,0,47,4
183,31,1976,32,88.9,0,49,3
184,0,1977,25,92.6,0,50,1
185,1,1977,27,90.0,0,47,1
186,2,1977,25,96.2,0,47,0
187,3,1977,17,89.5,0,45,1
188,4,1977,31,91.2,0,48,0
189,5,1977,30,96.8,0,44,1
190,6,1977,10,90.9,0,40,0
191,7,1977,35,97.2,0,49,3
192,8,1977,21,87.5,0,47,3
193,9,1977,27,96.4,0,37,1
194,10,1977,32,91.4,0,45,1
195,12,1977,39,95.1,0,52,2
196,13,1977,37,90.2,0,48,2
197,14,1977,25,86.2,0,44,3
198,15,1977,20,100.0,0,44,2
199,16,1977,19,95.0,0,51,1
200,18,1977,18,85.7,0,48,5
201,19,1977,19,90.5,0,47,1
202,30,1977,29,82.9,0,46,2
203,20,1977,11,78.6,0,44,0
204,22,1977,33,100.0,0,44,2
205,23,1977,39,92.9,0,42,1
206,24,1977,32,91.4,0,45,0
207,11,1977,19,100.0,0,54,2
208,26,1977,29,93.6,0,31,0
209,27,1977,33,89.2,0,51,2
210,28,1977,34,91.9,0,49,0
211,31,1977,25,86.2,0,42,1
212,0,1978,24,96.0,0,45,0
213,1,1978,26,92.9,0,44,2
214,2,1978,26,89.7,0,52,3
215,3,1978,36,94.7,0,46,0
216,4,1978,31,88.6,0,45,2
217,5,1978,37,92.5,0,45,2
218,6,1978,25,86.2,0,49,1
219,7,1978,27,90.0,0,45,1
220,8,1978,37,86.0,0,44,1
221,9,1978,25,96.2,0,47,2
222,10,1978,27,87.1,0,41,1
223,12,1978,46,97.9,0,48,1
224,13,1978,41,91.1,0,49,0
225,14,1978,30,88.2,0,39,2
226,15,1978,26,96.3,0,48,3
227,16,1978,27,93.1,0,52,0
228,18,1978,41,97.6,0,47,1
229,19,1978,32,97.0,0,48,1
230,30,1978,31,96.9,0,49,0
231,20,1978,30,100.0,0,48,0
232,22,1978,42,91.3,0,47,2
233,23,1978,33,86.8,0,45,1
234,24,1978,31,93.9,0,48,3
235,11,1978,30,96.8,0,52,0
236,26,1978,33,94.3,0,50,3
237,27,1978,40,90.9,0,48,0
238,28,1978,44,97.8,0,44,1
239,31,1978,36,97.3,0,47,0
240,0,1979,32,91.4,0,47,2
241,1,1979,34,91.9,0,44,1
242,2,1979,40,95.2,0,55,0
243,3,1979,25,86.2,0,42,1
244,4,1979,32,94.1,0,49,1
245,5,1979,38,88.4,0,51,1
246,6,1979,30,85.7,0,44,1
247,7,1979,30,76.9,0,51,2
248,8,1979,47,90.4,0,42,1
249,9,1979,28,96.6,0,46,3
250,10,1979,31,93.9,0,41,0
251,12,1979,40,90.9,0,51,1
252,13,1979,36,90.0,0,53,2
